title,price,location,date,link,image_url
Flat for Sale- spacious 2 BHK with private garden& covered car parking,"₹ 77,00,000","KADMA, JAMSHEDPUR",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-kadma-jamshedpur-iid-1806809008,No Image
Fully furnished 2bhk with covered car parking for sale,"₹ 57,00,000","BHOSARI SHANTINAGAR VASTI, PUNE",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-908-sq-ft-in-bhosari-shantinagar-vasti-pune-iid-1804410912,No Image
Hyundai grant i10 used car cover,₹ 700,"KK NAGAR, CHENNAI",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kk-nagar-chennai-iid-1806800003,No Image
Protection Cover from Monkey and Dog for Car,"₹ 1,300","IFFCO CHOWK, GURGAON",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-iffco-chowk-gurgaon-iid-1804804653,No Image
Seltos Car cover unused,"₹ 2,400","SECTOR 35D, CHANDIGARH",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-sector-35d-chandigarh-iid-1804632609,No Image
2 bhk 1st floor flat with covered car parking adjoining panchkula,"₹ 32,50,000","SAINI VIHAR, ZIRAKPUR",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-saini-vihar-zirakpur-iid-1806779782,No Image
BRAND NEW TYRES BATTERY SEAT COVER TOUCH SCREEN SYSTEM,"₹ 2,25,000","WADALA EAST, MUMBAI",No Date,https://www.olx.in/item/cars-c84-used-honda-city-in-wadala-east-mumbai-iid-1806777044,No Image
"Lift,kids play area,power backup,covered car parking","₹ 36,000","MANAYATA TECH PARK, BENGALURU",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-2100-sq-ft-in-manayata-tech-park-bengaluru-iid-1806770395,No Image
All Type of Car body cover,"₹ 1,600","PUDUPAKKAM, CHENNAI",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-pudupakkam-chennai-iid-1806764263,No Image
Skoda rapid car cover,"₹ 1,000","SAHAKARA NAGAR, BENGALURU",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sahakara-nagar-bengaluru-iid-1806757498,No Image
Spacious 1.5 BHK flat with covered car parking for rent for family,"₹ 11,000","MARUNJI, PUNE",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-800-sq-ft-in-marunji-pune-iid-1806499022,No Image
Original kwid Car seat cover,"₹ 7,000","KUVEMPU NAGAR, MYSURU",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kuvempu-nagar-mysuru-iid-1806718036,No Image
3bhk MICL (1.85 All inclusive) With 1 Alloted covered car park,"₹ 1,90,00,000","DAHISAR EAST, MUMBAI",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1350-sq-ft-in-dahisar-east-mumbai-iid-1763316022,No Image
2Bhk Flat Loan Facilities With Gated Society & Covered Car Parking,"₹ 37,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1050-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806706920,No Image
Car Body Cover Swift,₹ 700,"KESARAPALLI, VIJAYAWADA",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kesarapalli-vijayawada-iid-1806478400,No Image
"Car Seat cover , age-3 months","₹ 3,500","THEVALLY, KOLLAM",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-thevally-kollam-iid-1806699495,No Image
Car cover Chevrolet Beat,"₹ 1,500","ASHTAVINAYAK NAGAR, MUMBAI",No Date,https://www.olx.in/item/other-household-items-c293-car-cover-chevrolet-beat-in-ashtavinayak-nagar-mumbai-iid-1806640241,No Image
New wagon r or kuv car cover for sale,₹ 600,"DHARMAN NAGAR, SALEM",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-dharman-nagar-salem-iid-1806631077,No Image
"Car Cover Swift , Punch, i20, baleno","₹ 1,200","SHAKTI NAGAR, CHANDAUSI",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shakti-nagar-chandausi-iid-1806624590,No Image
2Bhk Luxury Low-rise Apartment Big Balcony With Covered Car Parking,"₹ 34,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-975-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806610730,No Image
